City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Vestmannaeyjar,IS,2022-01-04 03:24:55,63.4427,-20.2734,29.26,65,0,20.02,clear sky
60,Nikolskoye,RU,2022-01-04 03:24:55,59.7035,30.7861,21.4,95,100,7.09,light snow
61,Nanortalik,GL,2022-01-04 03:24:55,60.1432,-45.2371,37.71,69,100,47.62,light rain
62,Chuguyevka,RU,2022-01-04 03:24:56,44.1653,133.8633,-1.05,80,100,10.63,overcast clouds
63,Punta Arenas,CL,2022-01-04 03:24:19,-53.15,-70.9167,41.11,56,40,11.5,scattered clouds
64,Bluff,NZ,2022-01-04 03:24:56,-46.6,168.3333,60.6,88,100,7.14,overcast clouds
65,Cherskiy,RU,2022-01-04 03:24:56,68.75,161.3,-0.54,97,100,6.44,light snow
66,Cayenne,GF,2022-01-04 03:23:26,4.9333,-52.3333,79.09,81,20,1.99,few clouds
67,Umm Lajj,SA,2022-01-04 03:24:57,25.0213,37.2685,66.2,58,0,10.31,clear sky
68,Paraiso,CR,2022-01-04 03:24:57,9.8383,-83.8656,67.06,97,71,4.81,broken clouds
69,Arraial Do Cabo,BR,2022-01-04 03:24:57,-22.9661,-42.0278,75.24,86,100,26.62,heavy intensity rain
70,Araouane,ML,2022-01-04 03:24:58,18.9048,-3.5265,59.4,24,0,8.41,clear sky
71,Atuona,PF,2022-01-04 03:24:58,-9.8,-139.0333,78.98,75,43,17.85,scattered clouds
72,Pindi Bhattian,PK,2022-01-04 03:24:58,31.8978,73.273,57.61,60,100,2.1,moderate rain
73,Umba,RU,2022-01-04 03:24:59,66.6871,34.3429,-0.63,98,93,5.41,overcast clouds
74,Olafsvik,IS,2022-01-04 03:24:59,64.8945,-23.7142,28.83,70,57,8.63,broken clouds
75,Wainwright,CA,2022-01-04 03:24:59,52.839,-110.8572,-11.29,98,100,11.7,snow
76,Linhares,BR,2022-01-04 03:24:59,-19.3911,-40.0722,71.29,97,96,1.66,overcast clouds
77,Naze,JP,2022-01-04 03:25:00,28.3667,129.4833,61.72,57,0,10.4,clear sky
78,Quatre Cocos,MU,2022-01-04 03:25:00,-20.2078,57.7625,81.09,81,88,9.91,light rain
79,San Patricio,US,2022-01-04 03:25:00,28.017,-97.5169,51.84,40,7,5.95,clear sky
80,East London,ZA,2022-01-04 03:25:01,-33.0153,27.9116,68.94,94,40,8.05,mist
81,Broome,US,2022-01-04 03:25:01,42.2506,-75.833,17.62,84,90,1.01,overcast clouds
82,Shingu,JP,2022-01-04 03:25:01,33.7333,135.9833,50.99,46,6,13.89,clear sky
83,Russell,US,2022-01-04 03:21:16,32.3502,-85.1999,35.2,91,1,3.44,clear sky
84,Hobart,AU,2022-01-04 03:21:58,-42.8794,147.3294,71.02,64,75,10.36,broken clouds
85,Xiuyan,CN,2022-01-04 03:25:01,40.2928,123.2744,23.4,27,0,8.23,clear sky
86,Bathsheba,BB,2022-01-04 03:25:02,13.2167,-59.5167,77.61,69,20,14.97,few clouds
