City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Panalingaan,PH,83.37,moderate rain,8.7842,117.4231,I Love Panalingaan View Deck
206,Zacualpan,MX,76.71,clear sky,21.25,-105.1667,La Colorada B&B
208,Sena Madureira,BR,75.11,overcast clouds,-9.0656,-68.6569,Hotel Central
216,Buala,SB,84.52,light rain,-8.145,159.5921,Maringe Lagoon Lodge
219,Kahului,US,78.82,light rain,20.8947,-156.47,Maui Seaside Hotel
222,Hunterville,NZ,84.7,clear sky,-39.9333,175.5667,Argyle Hotel
226,Manggar,ID,84.65,overcast clouds,-2.8833,108.2667,Guest Hotel
231,Mahebourg,MU,82.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
234,Morant Bay,JM,76.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
238,Mildura,AU,81.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
240,Hatillo,PR,75.78,clear sky,18.4863,-66.8254,Hotel Parador El Buen Café
247,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
249,Samarai,PG,86.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
252,Det Udom,TH,80.91,broken clouds,14.906,105.0784,Chatsuda Resort
255,Jaciara,BR,71.69,broken clouds,-15.9653,-54.9683,Taba Hotel
258,Kavaratti,IN,81.93,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
259,Mana,GF,75.94,few clouds,5.6592,-53.7767,LE SAMANA
260,Kiunga,PG,87.98,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
262,Wanaka,NZ,71.42,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
263,Auki,SB,85.14,overcast clouds,-8.7676,160.7034,Auki Motel
265,Calamar,CO,78.75,overcast clouds,10.2511,-74.9146,Hostal Katyalex
266,Narsipatnam,IN,71.01,clear sky,17.6667,82.6167,Lodge Vooda Residency AC
269,Harper,LR,77.7,moderate rain,4.375,-7.7169,Screensaver
275,Santa Vitoria Do Palmar,BR,71.92,broken clouds,-33.5189,-53.3681,Hostel Comodoro
277,Salalah,OM,73.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
278,Nelson Bay,AU,83.28,few clouds,-32.7167,152.15,Mantra Nelson Bay
283,Ratnagiri,IN,80.78,few clouds,16.9833,73.3,Hotel Landmark
285,Itarema,BR,77.5,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
294,Rurrenabaque,BO,77.45,overcast clouds,-14.4413,-67.5278,Casa de Campo
297,Bourail,NC,82.44,broken clouds,-21.5667,165.4833,Motel Allamanda
301,Poum,NC,81.66,few clouds,-20.2333,164.0167,Gîte kajeon
308,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
309,Lorengau,PG,82.76,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
317,Esperance,AU,76.84,scattered clouds,-33.8667,121.9,Hospitality Esperance
321,Pochutla,MX,76.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
324,Pundaguitan,PH,80.13,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
327,Buchanan,LR,79.41,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
331,Ishigaki,JP,71.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
334,Guanica,PR,75.9,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
345,Kattivakkam,IN,79.07,broken clouds,13.2167,80.3167,Euronova Freezer
346,Rosita,NI,70.47,scattered clouds,13.9268,-84.4032,Hospedaje Zeledón
353,Maumere,ID,83.71,moderate rain,-8.6199,122.2111,Sylvia Hotel
354,Mulki,IN,76.28,few clouds,13.1,74.8,Karnire Camping Ground
355,Montes Altos,BR,70.59,overcast clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
356,San Felipe,VE,71.01,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
357,Jacareacanga,BR,72.66,moderate rain,-6.2222,-57.7528,Casa do Ian😎
359,Kudahuvadhoo,MV,79.86,light rain,2.6708,72.8944,Niyama Private Islands Maldives
361,Lodwar,KE,77.13,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
365,Presidente Medici,BR,72.7,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
368,San Policarpo,PH,79.12,overcast clouds,12.1791,125.5072,Agapita M. Nicart
369,Ambilobe,MG,78.6,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
371,Sinnamary,GF,76.35,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
376,Ambulu,ID,82.26,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
378,Dolores,AR,71.46,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
381,Cockburn Town,TC,78.33,clear sky,21.4612,-71.1419,Osprey Beach Hotel
384,Loum,CM,72.18,overcast clouds,4.7182,9.7351,hôtel Valeri
385,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
387,Sungaipenuh,ID,78.67,overcast clouds,-2.0833,101.3833,penginapan citra alam
390,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
394,Richards Bay,ZA,71.53,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
395,Kokoda,PG,89.96,overcast clouds,-8.8785,147.7407,Daito Guest House
399,Luganville,VU,82.38,moderate rain,-15.5333,167.1667,The Espiritu Hotel
401,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
403,Anloga,GH,82.62,broken clouds,5.7947,0.8973,Pin Drop Hotel
410,Kulhudhuffushi,MV,82.27,scattered clouds,6.6221,73.07,Haajy Guest House 1
414,Sibolga,ID,84.87,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
420,Souillac,MU,82.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
421,Ahipara,NZ,74.12,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
422,Cidahu,ID,82.89,broken clouds,-6.3113,106.0568,Ponpes El Mayan Nurul Mizan El Ali
424,Karangampel,ID,84.92,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
429,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
432,Kirakira,SB,86.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
433,Bengkulu,ID,82.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
436,Bubaque,GW,78.93,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
438,Bontang,ID,82.06,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
439,Rio Cuarto,AR,71.67,light rain,-33.1307,-64.3499,Grand Hotel Río Cuarto
441,Manaus,BR,81.09,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
442,Meulaboh,ID,81.45,few clouds,4.1363,96.1285,Kost Pria
444,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
449,Hambantota,LK,79.14,light rain,6.1241,81.1185,Bungalow 63
451,Hue,VN,73.51,mist,16.4667,107.6,Saigon Morin Hotel
453,San Rafael,AR,79.02,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
454,Tezu,IN,70.61,clear sky,27.9167,96.1667,Circuit House
456,Sinjai,ID,84.85,overcast clouds,-5.1241,120.253,Wisma Sandika
461,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
